Customer_ID_Raw,Customer_ID_Hash,Risk_Score,Credit_History_Months,Transaction_Volume,Is_Flagged_Fraud
Global Bank_CUST_00000,5b16791af4a4e0e8093bb8d3279f9154f063a4c85d417c33898d399f98e6c6d2,9,27,5827.66,0
Global Bank_CUST_00001,5fd474ca99fbb87af737420df529e5371ad962a1e9d12a6101f09dc42103f69b,100,12,3497.24,1
Global Bank_CUST_00002,587e9ed64baad64bad908968a796239f82c832703edd1e1834ebc6b070a5d5e0,15,15,4052.21,0
Global Bank_CUST_00003,aab9cd5657bd869b9858392e8ac086afa516cb4ef4a704b6096d363393c6c209,64,49,4705.92,0
Global Bank_CUST_00004,7e7109028387f62b77241fb60a11534b09ffad8db3c8713cb2179d46f6bd8a62,28,9,5618.92,0
Global Bank_CUST_00005,abd3650e1f84c78e15df1cd7b11b98622e890907e40093d134a22599edaf2dbb,89,28,5624.45,1
Global Bank_CUST_00006,9441d5271a7c53bd8d269b95baed1338137ebf740ba4d8551e05cedd00518d7b,93,2,5811.39,0
Global Bank_CUST_00007,e44893f97c2b5c28c8bf02cdfd3e70186a733140022b17e3b964d7d3b2f81658,29,22,3255.05,0
Global Bank_CUST_00008,9532dd0f1dc96acb52c7305db5d478804b289c18a5166798c83235fa132e44b5,8,26,4586.48,0
Global Bank_CUST_00009,314a708a68d51ce0bbedac8c4d5135915031bff6a23d5df3e2d4bc9883eeec2f,73,11,10296.5,0
Global Bank_CUST_00010,27c2cecd21dacc522beac9e9dc78fc73f3e2a12103708ba1e920ed2318727895,0,19,4418.8,0
Global Bank_CUST_00011,452f5f15f4568d389e0ecffd4aa9b22ac2497d10f85c1b55c1dfafbef5eed0a3,40,20,3276.99,0
Global Bank_CUST_00012,540e6e450651043e40eff0a86014bff202093597a258ac5425f0aadf8d90d8e2,36,3,4093.34,0
Global Bank_CUST_00013,1c8168b1ecddd5969b963f576d963cb1cfc7d2b6e5111f80c806d1e01958ac2b,16,26,4306.06,0
